ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Q102,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,"RO-BL-Imported Block 1 - May 8, 2018",LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,"You will be presented with a description and two images. Given these two images, pick the one tha...",Desciption : the bear is wearing a pirate hat,Desciption : the owl is sitting on the swing,Desciption : mike is holding a bat,Desciption : the bear is scaring mike and jenny,Desciption : jenny is kicking the soccer ball,Desciption : mike has a pie,Desciption : jenny is standing by the tree,Desciption : the dog is standing next to mike,Desciption : mike is wearing a pirate hat,Desciption : the airplane is flying in the sky,Desciption : jenny is wearing a hat,Desciption : jenny is sitting on the ground,Desciption : mike is holding a baseball bat,Desciption : mike is kicking a soccer ball,Desciption : jenny is wearing sunglasses,Desciption : mike is kicking the bear,Desciption : mike has a pie,Desciption : mike is holding a baseball bat,Desciption : jenny is sitting in the grass,Desciption : mike is kicking the soccer ball,Desciption : jenny is scared of the bear,Desciption : there is a helicopter in the sky,Desciption : mike is kicking the ball,Desciption : jenny is sitting on the ground,Desciption : mike is wearing purple sunglasses,Desciption : jenny is flying a colorful kite,Desciption : the bear is wearing a viking hat,Desciption : jenny is holding a baseball bat,Desciption : the cat is sitting next to mike,Desciption : mike is sitting on the grass,Desciption : mike and jenny are running from the snake,Desciption : jenny is wearing a viking hat,Desciption : jenny is sitting on the grass,Desciption : jenny is wearing sunglasses,Desciption : mike is wearing a hat,Desciption : mike and jenny are in the sandbox,Desciption : there is a pizza on the table,Desciption : jenny is holding a baseball bat,Desciption : jenny is holding a bottle of mustard,Desciption : the cat is sitting next to jenny,Desciption : the bear is wearing a chef hat,Desciption : an owl is sitting in the tree,Desciption : it is raining on jenny,Desciption : the snake is slithering away,Desciption : the pizza is on the grill,Desciption : the snake is scaring jenny,Desciption : jenny is sitting in the sandbox,Desciption : mike is kicking the soccer ball,Desciption : jenny is wearing a hat,Desciption : jenny is sad because it is raining,Desciption : jenny is sitting in the grass,Desciption : jenny is wearing purple sunglasses,Desciption : mike is wearing a blue hat,Desciption : a bear is scaring mike and jenny,Desciption : the dog is watching mike and jenny,Desciption : jenny is holding a frisbee,Desciption : mike and jenny are playing soccer,Desciption : mike is wearing a pirate hat,Desciption : jenny is wearing purple sunglasses,Desciption : jenny is scared of the snake,Desciption : the cat is sitting by jenny,Desciption : mike is wearing a baseball mitt,Desciption : mike is wearing a hat,Desciption : mike is kicking a soccer ball,Desciption : jenny is sad because it is raining,Desciption : jenny is holding the balloons,Desciption : jenny is happy to see mike,Desciption : mike kicked the soccer ball,Desciption : the owl is in the apple tree,Desciption : mike is sitting by the fire,Desciption : jenny is sitting by the snake,Desciption : jenny is wearing sunglasses,Desciption : mike is holding a bunch of balloons,Desciption : mike is holding a pie,Desciption : mike is kicking the soccer ball,Desciption : jenny is mad at mike,Desciption : mike and jenny are happy,Desciption : mike is wearing a baseball mitt,Desciption : the duck is in the sandbox,Desciption : jenny is throwing the frisbee to mike,Desciption : the dog is standing by the table,Desciption : mike is holding a baseball bat,Desciption : mike is near a fire,Desciption : an owl is sitting in the tree,Desciption : the cat is sitting by jenny,Desciption : jenny is holding the balloons,Desciption : mike is wearing a pirate hat,Desciption : mike is near a snake,Desciption : mike and jenny are playing soccer,Desciption : the dog is watching jenny,Desciption : jenny is wearing a baseball mitt,Desciption : the owl is sitting in the tree,Desciption : jenny is near a tree,Desciption : the owl is sitting in the apple tree,Desciption : jenny is scared of the snake,Desciption : jenny is happy to see mike,Desciption : the owl is sitting in the apple tree,Desciption : mike and jenny are playing catch with a baseball,Desciption : a helicopter is flying in the sky,Desciption : jenny is wearing a viking hat,"Display Order: Imported Block 1 - May 8, 2018",LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'QID102'},{'ImportId': 'QID403'},{'ImportId': 'QID404'},{'ImportId': 'QID405'},{'ImportId': 'QID406'},{'ImportId': 'QID407'},{'ImportId': 'QID408'},{'ImportId': 'QID409'},{'ImportId': 'QID410'},{'ImportId': 'QID411'},{'ImportId': 'QID412'},{'ImportId': 'QID413'},{'ImportId': 'QID414'},{'ImportId': 'QID415'},{'ImportId': 'QID416'},{'ImportId': 'QID417'},{'ImportId': 'QID418'},{'ImportId': 'QID419'},{'ImportId': 'QID420'},{'ImportId': 'QID421'},{'ImportId': 'QID422'},{'ImportId': 'QID423'},{'ImportId': 'QID424'},{'ImportId': 'QID425'},{'ImportId': 'QID426'},{'ImportId': 'QID427'},{'ImportId': 'QID428'},{'ImportId': 'QID429'},{'ImportId': 'QID430'},{'ImportId': 'QID431'},{'ImportId': 'QID432'},{'ImportId': 'QID433'},{'ImportId': 'QID434'},{'ImportId': 'QID435'},{'ImportId': 'QID436'},{'ImportId': 'QID437'},{'ImportId': 'QID438'},{'ImportId': 'QID439'},{'ImportId': 'QID440'},{'ImportId': 'QID441'},{'ImportId': 'QID442'},{'ImportId': 'QID443'},{'ImportId': 'QID444'},{'ImportId': 'QID445'},{'ImportId': 'QID446'},{'ImportId': 'QID447'},{'ImportId': 'QID448'},{'ImportId': 'QID449'},{'ImportId': 'QID450'},{'ImportId': 'QID451'},{'ImportId': 'QID452'},{'ImportId': 'QID453'},{'ImportId': 'QID454'},{'ImportId': 'QID455'},{'ImportId': 'QID456'},{'ImportId': 'QID457'},{'ImportId': 'QID458'},{'ImportId': 'QID459'},{'ImportId': 'QID460'},{'ImportId': 'QID461'},{'ImportId': 'QID462'},{'ImportId': 'QID463'},{'ImportId': 'QID464'},{'ImportId': 'QID465'},{'ImportId': 'QID466'},{'ImportId': 'QID467'},{'ImportId': 'QID468'},{'ImportId': 'QID469'},{'ImportId': 'QID470'},{'ImportId': 'QID471'},{'ImportId': 'QID472'},{'ImportId': 'QID473'},{'ImportId': 'QID474'},{'ImportId': 'QID475'},{'ImportId': 'QID476'},{'ImportId': 'QID477'},{'ImportId': 'QID478'},{'ImportId': 'QID479'},{'ImportId': 'QID480'},{'ImportId': 'QID481'},{'ImportId': 'QID482'},{'ImportId': 'QID483'},{'ImportId': 'QID484'},{'ImportId': 'QID485'},{'ImportId': 'QID486'},{'ImportId': 'QID487'},{'ImportId': 'QID488'},{'ImportId': 'QID489'},{'ImportId': 'QID490'},{'ImportId': 'QID491'},{'ImportId': 'QID492'},{'ImportId': 'QID493'},{'ImportId': 'QID494'},{'ImportId': 'QID495'},{'ImportId': 'QID496'},{'ImportId': 'QID497'},{'ImportId': 'QID498'},{'ImportId': 'QID499'},{'ImportId': 'QID500'},{'ImportId': 'QID501'},{'ImportId': 'QID502'},"{'ImportId': 'RO-BL-Imported Block 1 - May 8, 2018'}",{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_2nQef7E5JFn791D,Default Response Set,108.20.245.232,2018-05-08 12:18:24,2018-05-08 12:20:24,,,,,1,0,1,,,,Image choice 1: 869_8,,,,Image choice 1: 860_4,,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 884_5,,,,,,,,,Image choice 1: 861_0,,,,,,Image choice 1: 831_2,,,,,,,,,,,,,,,,Image choice 1: 829_4,,,,,,,,,,,Image choice 2: 816_1,,,,Image choice 1: 880_5,Image choice 1: 819_3,,,,,,,,,,,,,,,Image choice 1: 900_2,,,,,,,32|63|78|4|74|8|47|94|79|41,42.364593505859,-71.102798461914,-1
R_1SVeTlywC6xkyI1,Default Response Set,108.20.245.232,2018-05-08 12:18:43,2018-05-08 12:21:40,,,,,1,0,1,,,,,,,,,,,,,,,Image choice 1: 860_0,,,Image choice 2: 880_1,,,,,Image choice 2: 889_2,,,,,,,,,,,,,,,,Image choice 1: 888_1,,,,,,,,,,,Image choice 1: 873_1,,,,,,,Image choice 2: 881_6,,,Image choice 2: 847_9,,,,,,,,,,,,,,,,,,,,,Image choice 1: 896_0,,,,Image choice 2: 867_5,,,,,,,,,,Image choice 1: 883_5,,,,,,85|23|57|18|81|50|95|60|39|15,42.364593505859,-71.102798461914,-1
R_33eyAWey8FkcMtZ,Default Response Set,108.20.245.232,2018-05-08 13:37:27,2018-05-08 13:39:15,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,Image choice 2: 895_6,,,,,,,,,,,,,,,,Image choice 1: 882_4,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 854_8,,Image choice 2: 880_9,Image choice 2: 898_6,,,,Image choice 2: 870_2,Image choice 1: 814_0,,,,,,,,,,,,,,,,,,,Image choice 1: 845_0,,,,,,,,,,,,,Image choice 2: 884_0,Image choice 1: 839_2,99|59|86|61|100|36|67|62|66|20,42.364593505859,-71.102798461914,-1
R_2V9kKCdH7J5Bynr,Default Response Set,108.20.245.232,2018-05-08 13:39:16,2018-05-08 13:40:36,,,,,1,0,1,Image choice 1: 877_7,Image choice 1: 825_9,,,Image choice 1: 889_4,Image choice 1: 894_3,,,,,,,,,,,,,Image choice 2: 886_8,,,,,,,,,,Image choice 1: 855_6,,,,,,,,,,,,,,,,,,,,,,Image choice 1: 819_7,,,,,,,,,,,,,,,,,,Image choice 1: 810_5,,,,,,,,,,,,,,,,,,,,,,Image choice 1: 880_3,,,,,,,Image choice 1: 875_6,,,69|29|1|98|91|5|2|6|19|51,42.364593505859,-71.102798461914,-1
R_3kAq7zo4xpooyhc,Default Response Set,65.112.8.200,2018-05-08 13:54:06,2018-05-08 14:02:40,,,,,1,0,1,,,,,,,Image choice 2: 818_2,,,,,Image choice 1: 841_3,,Image choice 1: 888_6,,,,,,,,,,,Image choice 1: 832_4,Image choice 2: 867_0,,,,,,,,Image choice 2: 848_4,,,Image choice 1: 848_8,,,Image choice 1: 865_1,,,,,,,,Image choice 1: 806_0,,,,,,,,,,,,,,,,,,,,Image choice 1: 897_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40|34|26|7|68|25|14|37|12|48,42.380004882812,-71.13289642334,-1
R_1gqLtbbYfG7CSp4,Default Response Set,172.56.22.122,2018-05-08 14:22:08,2018-05-08 14:24:18,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 889_2,,,,,,,,,,Image choice 1: 875_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 818_9,,,,,Image choice 2: 888_0,Image choice 1: 892_0,,,,,,,,,Image choice 2: 867_5,,,,Image choice 2: 854_7,,,Image choice 1: 868_3,,,,,Image choice 1: 901_5,,Image choice 2: 884_0,,85|76|92|75|97|99|23|70|33|89,42.406295776367,-71.051200866699,-1
R_10Yj4JuO5BGdC3C,Default Response Set,65.112.8.207,2018-05-08 14:22:37,2018-05-08 14:34:19,,,,,1,0,1,,,,,,,Image choice 2: 818_2,,Image choice 1: 824_2,,,,,,,,,,,,,,,,,,Image choice 1: 820_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 881_6,,,,,,,Image choice 1: 888_7,,,,,Image choice 1: 810_5,,,,,,,,Image choice 1: 867_1,,,,,,,,,,Image choice 2: 826_4,Image choice 1: 842_1,,,,,,,,Image choice 1: 838_5,,,,,27|88|64|69|7|57|77|9|87|96,42.380004882812,-71.13289642334,-1
R_3Rab7KIP8f3vh7u,Default Response Set,140.247.183.163,2018-05-08 13:50:27,2018-05-08 15:06:37,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 897_5,,,,,,,,Image choice 1: 851_1,,,,,,,,,,,,Image choice 1: 845_8,Image choice 2: 873_7,Image choice 1: 838_3,,Image choice 2: 844_1,,,,,,,,,,,,,,,,,,,Image choice 2: 895_9,,,,,,,,,,,,,,,,,,,Image choice 2: 901_7,,,,,,Image choice 2: 854_7,,,Image choice 1: 812_2,,,,,,,,42|44|22|43|90|46|65|84|93|30,42.380004882812,-71.13289642334,-1
R_ddwVXxnGuDlE6rf,Default Response Set,172.56.22.122,2018-05-08 15:05:12,2018-05-08 15:07:10,,,,,1,0,1,,,,,,,,,,,,,,Image choice 2: 888_0,,,,,,Image choice 2: 895_6,,,,,,,,,,,,,,,,Image choice 1: 882_4,Image choice 1: 848_8,,,,,,,Image choice 1: 838_3,,Image choice 2: 844_1,,,,Image choice 1: 873_1,,,,,Image choice 1: 854_0,,,,,,,Image choice 2: 898_6,,,,,,,,,,,,,,,,,,,,,,,,Image choice 1: 845_0,,,,,,,,,,,,,,,37|55|62|50|20|46|36|44|14|86,42.406295776367,-71.051200866699,-1
R_3ffN60Pp5nG02Aw,Default Response Set,65.112.10.197,2018-05-08 19:05:45,2018-05-08 19:07:51,,,,,1,0,1,,,,,,,,Image choice 1: 860_4,,,,,,,Image choice 1: 860_0,,,Image choice 2: 880_1,,,,,,,,,,,,,,,,,Image choice 1: 852_3,,,Image choice 1: 898_2,,,,,,,,,,,,,,,,,,Image choice 1: 802_1,,,,,,,,,Image choice 2: 895_9,,Image choice 1: 814_0,,,,,,Image choice 1: 831_5,,,,,Image choice 2: 880_3,,,,,,,,,,,,,,,,,,,,,,,56|15|35|78|38|67|73|8|18|65,42.380004882812,-71.13289642334,-1
R_BW9XeZjlulfwweJ,Default Response Set,65.112.10.71,2018-05-08 21:18:04,2018-05-08 21:19:57,,,,,1,0,1,Image choice 1: 877_7,,,,,Image choice 1: 894_3,,,,,,,,,,,,,,,,,,,,,,,Image choice 1: 855_6,,,,,,,,,,,,,,,,,,,,,,Image choice 1: 819_7,,Image choice 1: 802_2,,,,,,,,,,Image choice 1: 829_4,,,Image choice 1: 870_0,,,,,,,,,,,,,,,Image choice 1: 896_0,,Image choice 1: 810_2,,,,,,,,,,,Image choice 1: 900_2,,,,,,,83|1|29|66|94|6|53|51|63|81,42.380004882812,-71.13289642334,-1
R_3mANhaG6BOQxbZT,Default Response Set,65.112.8.207,2018-05-08 22:57:24,2018-05-08 22:58:12,,,,,1,0,1,,,Image choice 1: 851_9,,,,,,,,,Image choice 2: 841_9,,,,,Image choice 1: 832_9,,Image choice 2: 886_8,,,,,,,Image choice 2: 867_0,,,,,,,,,,,,,,,Image choice 1: 861_0,Image choice 1: 845_8,,,Image choice 1: 814_2,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 893_3,,,,,,,,,Image choice 1: 868_2,,,,,,,,,,,,,,,,,,,,,71|45|26|80|19|12|42|17|41|3,42.380004882812,-71.13289642334,-1
R_2cbHeypAHoJRM8z,Default Response Set,65.112.8.206,2018-05-09 00:50:00,2018-05-09 00:52:39,,,,,1,0,1,,,,,Image choice 1: 889_4,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 898_2,,,,,,Image choice 2: 848_4,,,,,,,,,Image choice 2: 873_7,,,,,,,,,,,Image choice 1: 863_2,,,,,,,Image choice 2: 880_9,,,,,,,,,,,,,Image choice 2: 816_1,,,,,Image choice 1: 819_3,,,,,Image choice 2: 901_7,,,,,,,,,,,,,,Image choice 1: 875_6,,,79|28|5|54|74|43|34|98|61|84,42.380004882812,-71.13289642334,-1
R_1jkAztOO9VAgEYu,Default Response Set,65.112.8.206,2018-05-09 00:52:41,2018-05-09 00:55:25,,,,,1,0,1,,Image choice 2: 868_0,,,,,,,,Image choice 2: 826_2,,,,,,,,,,,Image choice 2: 879_0,,,Image choice 2: 816_4,,,,,,,,,,,,,,,,,,,,,,,,Image choice 1: 806_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 871_8,,,,,,,,,Image choice 1: 880_3,,Image choice 1: 812_2,,Image choice 1: 883_5,,,,,Image choice 2: 839_3,82|48|100|24|21|91|95|2|93|10,42.380004882812,-71.13289642334,-1
R_RksMpRiTl2gxlvj,Default Response Set,65.112.8.206,2018-05-09 00:55:26,2018-05-09 00:57:31,,,,,1,0,1,,,,,,,,,,,Image choice 1: 855_5,,Image choice 1: 898_8,,,Image choice 1: 878_4,,,,,,,,,Image choice 1: 832_4,,,,,,,Image choice 2: 884_5,,,,,,,,,,,,,,,Image choice 1: 831_2,,,,,Image choice 1: 811_9,,,,,,Image choice 1: 836_4,,Image choice 1: 847_6,,,,,,,,,,,,Image choice 2: 805_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16|25|52|32|13|72|47|60|11|58,42.380004882812,-71.13289642334,-1
R_3NNSRzVAR0dYplO,Default Response Set,24.63.71.157,2018-05-09 21:43:43,2018-05-09 21:45:16,,,,,1,0,1,,,,Image choice 2: 869_5,,,,,,,,,,,,,,,,,,Image choice 2: 897_5,,,,,,,,Image choice 1: 851_1,Image choice 1: 824_5,,,,,,,,Image choice 1: 888_1,Image choice 1: 865_1,,,,,,,,,Image choice 1: 815_3,,,,,,,,,,Image choice 2: 854_8,,,,,,,,,Image choice 2: 854_6,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 854_7,,,,,,,,,,,4|31|59|49|30|22|90|39|68|40,42.380004882812,-71.13289642334,-1
R_2WTosllkknh9lSo,Default Response Set,24.63.71.157,2018-05-09 21:45:18,2018-05-09 21:46:59,,,,,1,0,1,Image choice 2: 877_3,,,,,,,Image choice 1: 860_4,,,,,,,,,,,,,,,,,,,Image choice 1: 820_1,,,,Image choice 1: 824_5,,,,Image choice 2: 852_9,,,,,,,,,,,,,,,,,,Image choice 2: 802_9,,,,,,,,,,,Image choice 1: 888_7,,,,,,,,,,,,,,Image choice 1: 880_5,,,,,,,,,,Image choice 1: 842_1,,,,,,,,,,,Image choice 2: 884_0,,1|78|35|53|31|8|27|64|88|99,42.380004882812,-71.13289642334,-1
R_TpSE8d1qhP6g26B,Default Response Set,24.63.71.157,2018-05-09 21:47:01,2018-05-09 21:48:07,,,,,1,0,1,,,,,,,,,,Image choice 2: 826_2,,,Image choice 2: 898_4,,,,,,,,,,Image choice 2: 889_2,,,,,,,,,,,,,,,,,,,,Image choice 2: 873_7,Image choice 1: 838_3,,,,,Image choice 1: 815_3,,,,,,,,Image choice 1: 881_2,,,,,Image choice 2: 898_6,Image choice 1: 829_4,,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 826_4,,,,,,,,,,,,,,62|43|87|44|10|23|57|63|49|13,42.380004882812,-71.13289642334,-1
R_D36z6RNJv3a3Mlz,Default Response Set,24.63.71.157,2018-05-09 21:48:08,2018-05-09 21:49:30,,,,,1,0,1,,,,,,,,,,,,,,,,,Image choice 1: 832_9,,,Image choice 1: 821_4,,,,,Image choice 1: 832_4,,,,,,,,,,,Image choice 1: 882_4,,,,,,,,,,,,,,,,,,,,Image choice 2: 881_9,,,Image choice 2: 854_8,,,,,,,,,Image choice 2: 854_6,Image choice 1: 810_5,,,Image choice 2: 805_5,,,,,,,,,,,,,Image choice 2: 867_5,,,,,,,,,,,,,,,,72|25|85|69|17|68|20|59|56|36,42.380004882812,-71.13289642334,-1
R_25WuHwwqtuwF72Z,Default Response Set,24.63.71.157,2018-05-09 21:49:32,2018-05-09 21:50:48,,,,,1,0,1,,,,Image choice 2: 869_5,,,Image choice 2: 818_2,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 848_4,,,,,,,Image choice 2: 861_7,,,,,,,,,,,,,,,,,,,,Image choice 2: 880_9,,,,,,,,,,,,,,,,Image choice 1: 867_1,,Image choice 1: 819_3,,,,,,,,,,,Image choice 2: 854_7,,,,Image choice 1: 900_2,,Image choice 2: 894_0,,,,,7|41|90|94|79|77|4|61|34|96,42.380004882812,-71.13289642334,-1
R_rcGtVKPLZb0knCh,Default Response Set,24.63.71.157,2018-05-09 21:51:12,2018-05-09 21:52:36,,,,,1,0,1,,,,,Image choice 1: 889_4,Image choice 1: 894_3,,,,,,,,Image choice 1: 888_6,,Image choice 1: 878_4,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 1: 845_8,,,Image choice 1: 814_2,,,,,Image choice 1: 873_1,Image choice 2: 819_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 1: 845_0,,,,,Image choice 1: 880_3,,,,,,,,,,45|42|50|5|6|51|16|91|14|86,42.380004882812,-71.13289642334,-1
R_21AmuDMhyMM7PoB,Default Response Set,24.63.71.157,2018-05-09 21:52:38,2018-05-09 21:53:38,,,,,1,0,1,,,,,,,,,,,,Image choice 2: 841_9,,,,,,,,,,,,,,Image choice 2: 867_0,,,,,,Image choice 2: 884_5,,,,,,,,Image choice 1: 865_1,,,,,,Image choice 2: 844_1,,,,,,,,,,,,,,,,,,,Image choice 2: 895_9,,,,,,,,,Image choice 2: 816_1,,,,,,,,Image choice 2: 871_8,,,,,,,Image choice 1: 854_1,,,,,,,,Image choice 1: 901_5,,,,97|46|65|32|89|82|12|74|40|26,42.380004882812,-71.13289642334,-1
